tweet_id,lang,clean_text
988930594150137856,lv,Aicina vecākus pārskatīt bērnu reģistrācijas pieteikumus Rīgas pašvaldības bērnudārzos https://t.co/mni9GNvHwX
988931213610991616,en,"Annual #Ottawa Service Attachés Association International Cuisine Night 2018, this time also with #Latvia &amp; world-famous #Riga black #balsam, delicious Riga #golden sprats, always right choice &amp; excellent for #NHL #hockey night. Enjoy the best! https://t.co/vYcldQayEG"
988935022118932483,lv,"FOTO: Ar kādiem gan tekstiem speciālās kartītēs Viktorijas laikā vīrieši aicināja dāmas uz tikšanos, flirtu un gultu  https://t.co/nwIiFQiKaN"
988935054251515904,en,Then I will kill someone... https://t.co/ZA77dHOpqi
988935081820590080,en,"As much as i hate to admit it but i hope @LFC Wins The #UCL ..Commin From an @ManUtd Fan , You'll Need All Prayers @MattHDGamer https://t.co/CnMxk2iODl"
988936535264313344,es,"@RadioPrensa @mariseka Són realmente unos hijos de su grandisima puta, los o él o la😠😠😠 qué hiso esta matanza, tan… https://t.co/Enc800xxWh"
988940293029347329,en,"Yeti or not, here they come. Watch the new trailer for #SMALLFOOT now! https://t.co/zJCTrFbb4u"
988945692780630016,lv,"Kas jāievēro, lai kailsakņu stādi sekmīgi ieaugtu https://t.co/3AIHx2eHHp"
988946270864756737,und,Kikindske disu na skrge. Prodisale bi kad bi obezbedile pare bar za pripremu i stampu.
988946471826477056,lv,"Veselības spogulis mēle: par ko liecina tās krāsas un kustīgums, mitrums?  https://t.co/OAqzdY9u1g"
988947653668016130,und,@Mega  https://t.co/edelRJRTUC
988947734454571008,und,@Mega  https://t.co/flJvydhfMM
988947778792341504,en,light rain -&gt; overcast clouds temperature up 7°C -&gt; 8°C humidity up 87% -&gt; 93% wind 8kmh -&gt; 4kmh
988950760179339266,lv,"Pēc bērzu sulām uz tirgu vai mežu: cik droši iegādāties? Vai var ieurbties bērzā, kas pašam nepieder? https://t.co/7fSaaKyvnj"
988953397528354816,lv,"@Kaspars_Zn @vircavs @Buvvalde Tas ir Kalpaka bulvāris, ja?"
988954013977731072,lv,25. aprīļa jubilāri un notikumu Latvijā un pasaulē https://t.co/VDLCC3zkmC
988958693910695936,ko,"팀 셔록 그의 코멘트는 직설적이고 강렬하다 "" 개자식 같은 아베!  작년내내 트럼프의 잠재적 무력사용을 통한 최대한의 대북압박을 지지하고 심지어 문재인 대통령에게 '북을 협상 테이블로 이끌기 위한  한미연합훈련 축소'의 철회를 요구한 그에게 보여줄 연민이란 없다"" No tears for Shinzo! https://t.co/5Lka40AZSG"
988959057435295751,lv,"Tavs horoskops šodienai. Trešdiena, 25. aprīlis https://t.co/OoCZ0v8rzk"
988959674916458497,ko,"거울을 보세요! 거기 누가 보이나요? 이재명 “돈 많고 감옥 가고 싶은 일베 여러분, 지금처럼 계속해요” https://t.co/A2SgDQtQwt"
988960788269289472,lv,Miljoniem ļaužu apbrīno Kardašjanas ģimenes foto https://t.co/UpcaMO86q8
