tweet_id,clean_text
508258666999709696,"@alpaqa Jā, es uz ""ambulatīvs"" aicinu jau kopš 80. gadiem. Bet krievu valodas ""амбулаторный"" ietekmētos ļaudis neizdodas par to pārliecināt."
592658619176452099,"@vardotaja Reiz kāda autore teica, ka sarīkojumi viņai asociējoties tikai ar dejām :) Vai labāks izskaidrojums nav ""мероприятие""?"
705716961754398720,"Vienskaitlis “debate” Latvijā izzuda XX gs. 50. gados. To veicināja tas, ka “дебаты” ir tikai daudzskaitlī (vīr. dzimtē; ģenit. “дебатов”)."
783739613651369984,"""Nākamā pietura Andreja Saharova iela""  И просто алкаш в автобусе:""А если нет?"" Высшая степень философии,которую мне доводилось встречать"
784050710447030273,В этом доме проживал В. И. Ленин. Надо же... @ Cēsu Iela https://t.co/ohkmYvcUhU
784088047818305537,"ну поцыыыыыы давайййй Tikai Rīga Tikai Dinamo, жду не дождусь когда на арене буду"
784652081953120256,"Завершение сезона. Jūrmalas MTB maratons. 40km по дуткому ветру, холоду...надеюсь дождя не… https://t.co/kszbpu8sKm"
784724671279276032,"Ты рядом со мной, и это - самый чистый кайф.😏😊👍👌 (@ kāmīša rezidence👌) https://t.co/lJvjUOGFhp"
784759611450650624,I'm at Квартира Александрова in Rīga https://t.co/p7EfUhDeaw
784839991700680704,Slēdzies klāt tiešraidei galvenai cīņai FIGHT NIGHTS GLOBAL 53 Weekend  Владимир Минеев – Ясубей Эномото @Lattelecom https://t.co/QfRnwu0H3t
784840392608972800,RT @Best4SportTV: Slēdzies klāt tiešraidei galvenai cīņai FIGHT NIGHTS GLOBAL 53 Weekend  Владимир Минеев – Ясубей Эномото @Lattelecom http…
784866031802126337,"Играем в дигитальную Монополию :-) @ Purvciems, Rīga https://t.co/kmtqd9QU36"
784871854804729857,"I'm at VecRīga|Riga old Town|Старая Рига in Riga, Rīgas novads https://t.co/i6Ha1bKLC1"
785072857252528128,"08.10.16 с Днём Рождения, ребята!❤️🎈💌💋 @ Ādaži, Latvia https://t.co/aU0amBJ2Vm"
785133393507971072,I'm at Maskavas Forštate | Маскачка in Rīga https://t.co/0FzqnSPTbz
785146109320626180,I'm at В Квартире Мороз - @nicolemhatesu55 in Rīga https://t.co/xtr8ZL1OlN
785211917879111680,"Ļoti dīvaina sajūta ... 😅 ... Это очень странное чувство, когда ты это не ты , го всё-таки ты ..… https://t.co/zW8QUOvTT6"
785331179687907328,Mm njami😊 ko Jūs gribat redzēt mūsu bārā? 💃💃 Мммм нями 😻😻 Что Вы хотите видеть в нашем… https://t.co/2AYxlyPeSS
785342972128817152,Ну такоэ (@ 40. autobuss | Jugla 3 - Ziepniekkalns in Rīga) https://t.co/ewrgHBOmGT
785351409306861568,В Риге к отоплению подключено 26% клиентов Rīgas siltums https://t.co/2o72ejzVjb
785358776476004353,RT @rusdelfi_lv: В Риге к отоплению подключено 26% клиентов Rīgas siltums https://t.co/2o72ejzVjb
785411218097905664,Директор по развитию предприятия Sadales tīkls Роландс Лусверис в студии радио Baltkom... https://t.co/UqcIpUtTSX
785412770510606336,"Понедельник можно сделать немного приятнее, если провести его в Taj Mahal Empire restorāns! Ведь сегодня время особенной акции для гостей! https://t.co/tA1GH6GcxI"
785425498847444993,"Bezvadu video mazuļu uzraugs tagad tikai 50.00 EUR! Беспроводная видеоняня теперь только 50,00 EUR!  https://t.co/UEzUHL2SpD https://t.co/tgbJrS9FjH"
785439362087616512,Grāmatu veikali нынче ir tukši.
785445776562483201,I'm at В Квартире Мороз - @nicolemhatesu55 in Rīga https://t.co/MBVNJhUA3b
785452579929063424,Rīgas siltums: тариф на отопление в Риге�— самый низкий среди столиц стран Балтии https://t.co/2v7ZYEe075
785539037033537536,"Day2. Ужин. Инета болеет, поэтому, Я за повара :-) @ Purvciems, Rīga https://t.co/ilHdaANDDf"
785562910252736512,"Решил закончить вечер, расслабившись, на диване,... по-мужски :-) @ Purvciems, Rīga https://t.co/0HUazhMZ78"
785610810001416193,"Люблю осень 🍂 @ Kultūras un atpūtas parks ""Mežaparks"" https://t.co/ThhgaPatUW"
785663398050619392,Brīnumdaris организует праздник для детей Priedīte: помочь могут все неравнодушные: Даугавпилсская общественн... https://t.co/u75bau1Ff4
785704870137454592,Labrīt ... 🍝 ... Доброе утро.. 😚🍳☕ ... #AmiBrokasto #АмиЗавтракает @ Sarkandaugava - Краска https://t.co/lQSZWav2Uf
785719135443443716,Латгальские Паралимпийские игры прошли на спортивной базе «Dzintariņš»: На спортивной базе «Dzintariņš» 8 и 9... https://t.co/EHotg2OZiW
785727732697198592,Лада седан 😸 (@ Rīgas 66. Vidusskola in Riga) https://t.co/Uh3TaDkok0
785734300436090880,Тренер ДЮСШ выиграл восьмую медаль на чемпионате мира: В небольшом польском городке Waļbrzych (в районе Вроцл... https://t.co/owZdaLzIpH
785753849898205184,Элегантный KOYA restorāns &amp; bārs первый раз принимает участие в Rudens Rīgas Restorānu nedēļa 2016! https://t.co/ygacs3jxR5
