tweet_id,clean_text
900251329242685440,⒈ Krievijas ⒉ Кирилла Серебренникова ⒊ Rīgā ⒋ Latvijā ⒌ #skaidrojums 2017/8/23 09:56 EEST https://t.co/dfW3egMQpQ
810047656156401664,"kārtējo reizi apmaldījos Imantā, bet tomēr atradu šo skolu (@ Rīgas Ostvalda vidusskola - @ostvaldschool in Рига) https://t.co/O6NZnhYgEp"
823608739798413316,Кек😂 (@ Elitas royal māja) https://t.co/1wRmjpQNXm https://t.co/ZlRZMVBu0b
914495779112456192,I'm at Tapešu iela in Рига https://t.co/k6ykmwfhCj
1005512602519330816,"Первая остановка #Lidosta""Rīga"" #Latvia… https://t.co/DcXyvZdv8M"
829980244262154240,Mitrās tapetes ___________________________________ Мокрые… https://t.co/l83huZXwpN
936265489596248064,I'm at Tapešu iela in Рига https://t.co/SVRdOvWbSk
940305064459231239,"Мне тебя не запомнить , тебе меня не забыть 😎 (@ CarWash in Rīga, Rīga galvaspilsēta) https://t.co/vUX6ceORqy"
953381351146827777,"Глава дочерней компании Latvijas dzelzceļš, возможно, задержан в Литве https://t.co/rbmqHqv9fr"
925756324067016704,Председатель правления Sadales tīkls Пинкулис ушел с должности https://t.co/o8Gi4tSJvw
818515994457112576,"👋🏽🖤 (@ Рига in Rīga, Rīgas pilsēta) https://t.co/hnh6GYAOAt"
876677202829561856,I'm at Юрмала in Jūrmala https://t.co/1e9UKUsVwl
893683205605392385,I'm at Tapešu iela in Рига https://t.co/T2sy2p4yjU
877927734453960704,I'm at Tapešu iela in Рига https://t.co/n461yL8fDM
898363813975670784,⒈ Барселоне ⒉ Barselonā ⒊ #EuroBeachVolley ⒋ #LV100 ⒌ #ProjectRunway 2017/8/18 04:55 EEST #trndnl https://t.co/dfW3egMQpQ
998992336372817921,I'm at Tapešu iela in Рига https://t.co/u2jJtZmQbx
953926194508025856,Rosība: на производстве продуктов питания вы не разбогатеете https://t.co/9PNjox0Zni
795206104619814912,"Не выспалась😞 (at @HesburgerFin in Ādaži, Latvija) https://t.co/0rqcAbiocB"
807937355483058176,Котяре 15 лет ;~} #юрмала #jurmala @ Alus Krodziņš https://t.co/yZpxu1UtQD
898755201427005440,I'm at Tapešu iela in Рига https://t.co/TfzOtHcwic
817280020641153024,I'm at Старая Рига - @vecriga in Rīga https://t.co/i8UtlReePx
832461205277020160,I'm at Tapešu iela in Рига https://t.co/wsyS2N8HuG
954762976782897152,Проиграли 2-3 Минску. @ Rīgas 84.vidusskolas sporta komplekss https://t.co/pV9BDzixOq
955095428630044672,"I'm at T/C @GalerijaCentrs in Rīga, Рига https://t.co/ipOoc0nRf6"
911943353809428482,"I'm at Парк Зиемельблазмы in Rīga, Latvia https://t.co/zJqRH1b94f https://t.co/APQo59uQSD"
901095251825360897,I'm at Tapešu iela in Рига https://t.co/2lWgcJfcah
878754104037826561,"Līgo-līgo! 🍢🔥🍻🌿🌼 Спасибо, ребята ❤ @ Beberbeķi, Latvia https://t.co/co3vzX2o02"
811465744882028545,I'm at Старая Рига - @vecriga in Rīga https://t.co/iQ7X4lGeKR
798538141682569218,Аленьких цветочков не завезли... (@ Stockmann in Rīga) https://t.co/ohDVaTG0gJ
833228402853367808,Заключающаяся игра сезона 😍 Закончили победой 🏆🏒 #dinamoriga @ Arēna Rīga (Arena Riga) https://t.co/WCCFU6lT7m
828974303391670273,"Стиль, качество и цвет!! Куртка от Le Breve и сумки от Duki Daso ! ĢERTRŪDES 61, RĪGA  T… https://t.co/j935DV0yAr"
865105934850424832,"Liepājas Celtnieks: Работники в Латвии распустились! Все хотят зарплату, а не работу https://t.co/ut25TA97AC"
798655684485218304,I'm at Вантовый мост in Rīga https://t.co/VYf7BoJXNb
1008349317118283776,"Karbonāde, protams, ar majonēzes haštagu. (@ Veranda in Юрмала w/ @lyyyyyyy) https://t.co/0pWFt2iZl7 https://t.co/40VSqhqnB4"
833252524173955072,I'm at Пляж Дзинтари in Jūrmala w/ @asuhacky https://t.co/zrY0LfYCED
979677871844347904,Мы желаем вам спокойных и продуктивных выходных. /  / Novēlam jums mierīgus un produktīvus br&amp;#29.. https://t.co/UN3H1ayyQs
913651254064168962,A very good morning ☺️ Булочки с заварным кремом божественны 😍 @ Zolitūde https://t.co/5MvDkSEu3Z
997012599949623301,Новая пивоварня Ziemeļu Enkurs не чувствует конкуренции  https://t.co/BVdBmw7zKa
879738753572642816,I'm at Tapešu iela in Рига https://t.co/xV8wVGv15D
876718709020164096,ФОТО: в Межапарке представлена первая вилла проекта Mežaparka Rezidences; цены на виллы - от миллиона евро https://t.co/Ylwrnbvpp2
877207009011134466,I'm at Tapešu iela in Рига https://t.co/2sxg0uD4Cx
919089574109962240,I'm at Ж/д станция «Слока» in Jūrmala https://t.co/VcRMX7Ktzy
791329439934275586,Мы не празднуем Хеллоуин. Мы празднуем ДЕНЬ РЕФОРМАЦИИ! Reformation forever! @ Rīgas Jaunā Sv.… https://t.co/m5iNzITw7S
843446262972211201,Тихое место для вкусного обеда . (@ Buržuja brokastis in Rīga) https://t.co/hDum0YzP9t https://t.co/25S8Ihq0O0
858044402664710144,В понедельник 1 мая в Риге состоится велозаезд «Rīgas Velosvētki – sākam sportot» https://t.co/kUNEAGvL3q
853498230264483840,Priecīgas Lieldienas! 🐇 🥚 Светлой Пасхи! 😀 https://t.co/kWGGsyG7Cu
882514278946918400,I'm at Tapešu iela in Рига https://t.co/0r34bSAi9H
846658700085510145,I'm at Maskavas Forštate | Маскачка in Rīga https://t.co/XKI4An9Cxv
849190635345240065,I'm at Старая Рига - @vecriga in Rīga https://t.co/uMLqL67FC9
890777270452973569,I'm at Tapešu iela in Рига https://t.co/AGcOY5wRLU
934918376853565440,Jūs esat Labākie ... 💐🌷⭐️  #TuEsiLabākais @_reynsi_  #ВыСамыеЛучшие #XFaktors @ Рижская… https://t.co/ATZ5Mk0GG0
883741843745329156,"I'm at Ма!Лухари Вилаж ))) in Jūrmala, Latvija https://t.co/uP7Ag0QVwN https://t.co/NWol7xYQyn"
948183087145463810,I'm at Юрмала in Jūrmala https://t.co/RBqsX0Dox4 https://t.co/leRDrjJuzq
804428638871580672,"Декабрь😍 Последняя глава 🎉🙈 @ Jūrmala,kauguri https://t.co/l4a143Jt3b"
996466081169485824,Dedpūls 2! Бегом в кино! Просто шедевр от мира фильмов 18+ (в нашей… https://t.co/ytzOKbzEcj
836169100648927232,"Calvin Kleins džemperis ĢERTRŪDES 61, RĪGA  https://t.co/kRdXuc81ij ☎24 42 27 70 Мужские свитера и… https://t.co/0QfZuiWECI"
919768707286659072,I'm at Tapešu iela in Рига https://t.co/aF7O564AQj
834452936960901121,Мы сюда) напротив нашего переулка этот ресторанчик ) @ Restorāns 1221 https://t.co/Z8UR7fO5Qg
989808883785981952,Как это делается? Березовый сок на предприятии Kainaiži https://t.co/FjNoLNaVD8
835709420520816641,Доброе снежное утро)) @ Kaļķu iela https://t.co/Jmy5vJA4VE
798882395143409664,Когда засмотрелся сериал и чуть не опоздал на транспорт 👌 (@ TC „Kauguri“ in Jūrmala) https://t.co/QDZB1cQ0oO
845324461662519296,I'm at Tapešu iela in Рига https://t.co/cSTZTFrHoS
