cleanup__keep_entities,label__threshold,nn__activation,nn__batch_size,nn__epochs,nn__ngram_range,nn__verbose,transformer__case,transformer__normal_form,mean_test_score
True,0.2,sigmoid,32,30,"(1, 2)",0,,,0.3398169392203783
True,0.2,sigmoid,32,30,"(1, 2)",0,lowercase,,0.35137568990749896
True,0.2,sigmoid,32,30,"(2, 2)",0,,,0.3397456056912774
True,0.2,sigmoid,32,30,"(2, 2)",0,lowercase,,0.347066720431001
True,0.2,sigmoid,32,30,"(1, 3)",0,,,0.337925659304624
True,0.2,sigmoid,32,30,"(1, 3)",0,lowercase,,0.35018856475085397
True,0.2,sigmoid,32,30,"(3, 3)",0,,,0.337892415462462
True,0.2,sigmoid,32,30,"(3, 3)",0,lowercase,,0.3529953128810417
True,0.3,sigmoid,32,30,"(1, 2)",0,,,0.3317578959082817
True,0.3,sigmoid,32,30,"(1, 2)",0,lowercase,,0.3444204047696027
True,0.3,sigmoid,32,30,"(2, 2)",0,,,0.33366672404298636
True,0.3,sigmoid,32,30,"(2, 2)",0,lowercase,,0.34626381784035865
True,0.3,sigmoid,32,30,"(1, 3)",0,,,0.3329360314057387
True,0.3,sigmoid,32,30,"(1, 3)",0,lowercase,,0.3452208324343543
True,0.3,sigmoid,32,30,"(3, 3)",0,,,0.3340586534583063
True,0.3,sigmoid,32,30,"(3, 3)",0,lowercase,,0.3481043609127327
True,0.4,sigmoid,32,30,"(1, 2)",0,,,0.33136887998628234
True,0.4,sigmoid,32,30,"(1, 2)",0,lowercase,,0.3450789270210767
True,0.4,sigmoid,32,30,"(2, 2)",0,,,0.3325423609627817
True,0.4,sigmoid,32,30,"(2, 2)",0,lowercase,,0.3472620955758553
True,0.4,sigmoid,32,30,"(1, 3)",0,,,0.331736440474982
True,0.4,sigmoid,32,30,"(1, 3)",0,lowercase,,0.34607943154704
True,0.4,sigmoid,32,30,"(3, 3)",0,,,0.334051547772502
True,0.4,sigmoid,32,30,"(3, 3)",0,lowercase,,0.34693394895132634
False,0.2,sigmoid,32,30,"(1, 2)",0,,,0.36043599731878934
False,0.2,sigmoid,32,30,"(1, 2)",0,lowercase,,0.366199281268402
False,0.2,sigmoid,32,30,"(2, 2)",0,,,0.36232428648497766
False,0.2,sigmoid,32,30,"(2, 2)",0,lowercase,,0.36310251427061035
False,0.2,sigmoid,32,30,"(1, 3)",0,,,0.36232421565810197
False,0.2,sigmoid,32,30,"(1, 3)",0,lowercase,,0.36903285939683533
False,0.2,sigmoid,32,30,"(3, 3)",0,,,0.3579520419811893
False,0.2,sigmoid,32,30,"(3, 3)",0,lowercase,,0.3652073063009603
False,0.3,sigmoid,32,30,"(1, 2)",0,,,0.36184732891765264
False,0.3,sigmoid,32,30,"(1, 2)",0,lowercase,,0.3604295095788644
False,0.3,sigmoid,32,30,"(2, 2)",0,,,0.3612106624701214
False,0.3,sigmoid,32,30,"(2, 2)",0,lowercase,,0.3663555437060597
False,0.3,sigmoid,32,30,"(1, 3)",0,,,0.35788118686445364
False,0.3,sigmoid,32,30,"(1, 3)",0,lowercase,,0.3671869859935117
False,0.3,sigmoid,32,30,"(3, 3)",0,,,0.36496942998088033
False,0.3,sigmoid,32,30,"(3, 3)",0,lowercase,,0.3675343545532677
False,0.4,sigmoid,32,30,"(1, 2)",0,,,0.3642409240604287
False,0.4,sigmoid,32,30,"(1, 2)",0,lowercase,,0.36249007879978
False,0.4,sigmoid,32,30,"(2, 2)",0,,,0.35827768070095733
False,0.4,sigmoid,32,30,"(2, 2)",0,lowercase,,0.35825768528738766
False,0.4,sigmoid,32,30,"(1, 3)",0,,,0.3545488574757177
False,0.4,sigmoid,32,30,"(1, 3)",0,lowercase,,0.3626685048964263
False,0.4,sigmoid,32,30,"(3, 3)",0,,,0.3632241663303423
False,0.4,sigmoid,32,30,"(3, 3)",0,lowercase,,0.36552097774788
