tweet	user	start	end	language
452034234501181440	189803601	0	3	lang2
452034234501181440	189803601	5	9	lang2
452034234501181440	189803601	11	14	lang2
452034234501181440	189803601	16	17	lang2
452034234501181440	189803601	19	25	lang2
452034234501181440	189803601	27	28	ne
452034234501181440	189803601	30	31	lang2
452034234501181440	189803601	33	35	lang2
452034234501181440	189803601	37	39	lang2
413214591653392384	530868380	0	2	lang2
413214591653392384	530868380	4	11	lang2
413214591653392384	530868380	13	14	lang2
413214591653392384	530868380	18	24	lang2
413214591653392384	530868380	26	29	lang2
413214591653392384	530868380	31	32	lang2
413214591653392384	530868380	35	37	lang1
413214591653392384	530868380	38	39	lang1
413214591653392384	530868380	48	51	lang2
413214591653392384	530868380	53	57	lang2
413214591653392384	530868380	60	65	lang2
413214591653392384	530868380	67	69	lang2
413214591653392384	530868380	71	75	lang2
444762025424474112	2379620472	0	0	ne
444762025424474112	2379620472	1	2	ne
444762025424474112	2379620472	3	4	ne
444762025424474112	2379620472	6	9	lang2
444762025424474112	2379620472	11	12	lang2
425013773557301248	2211328680	0	0	lang1
425013773557301248	2211328680	1	2	lang1
425013773557301248	2211328680	3	4	lang1
425013773557301248	2211328680	6	7	lang1
425013773557301248	2211328680	8	8	lang1
425013773557301248	2211328680	9	10	lang1
425013773557301248	2211328680	11	12	lang1
425013773557301248	2211328680	13	14	lang1
425013773557301248	2211328680	15	15	lang1
425013773557301248	2211328680	16	17	lang1
425013773557301248	2211328680	24	28	lang2
425013773557301248	2211328680	30	30	lang2
425013773557301248	2211328680	32	39	lang2
425013773557301248	2211328680	41	42	lang2
425013773557301248	2211328680	44	45	lang2
425013773557301248	2211328680	47	50	lang2
425013773557301248	2211328680	52	54	lang2
425013773557301248	2211328680	56	59	lang2
425013773557301248	2211328680	61	66	lang2
425013773557301248	2211328680	68	71	lang2
425013773557301248	2211328680	73	77	lang2
425013773557301248	2211328680	79	80	lang2
425013773557301248	2211328680	87	88	lang2
425013773557301248	2211328680	90	92	lang2
425013773557301248	2211328680	94	98	lang2
425013773557301248	2211328680	105	111	lang2
425013773557301248	2211328680	113	119	lang2
262896230546427904	582715123	0	1	other
262896230546427904	582715123	3	8	other
262896230546427904	582715123	10	13	other
262896230546427904	582715123	15	17	other
262896230546427904	582715123	19	24	other
262896230546427904	582715123	34	37	lang2
262896230546427904	582715123	47	49	other
262896230546427904	582715123	51	53	other
262896230546427904	582715123	55	60	other
262896230546427904	582715123	62	67	other
262896230546427904	582715123	69	72	other
262896230546427904	582715123	78	78	other
262896230546427904	582715123	80	80	lang1
428360634833436673	2307456361	0	1	lang1
428360634833436673	2307456361	2	4	lang2
428360634833436673	2307456361	6	7	lang1
428360634833436673	2307456361	8	8	lang1
428360634833436673	2307456361	9	10	lang1
428360634833436673	2307456361	13	13	lang1
428360634833436673	2307456361	14	14	lang1
428360634833436673	2307456361	15	16	lang1
